band,cutoff_high,cutoff_low,ild_bias_weight,itd_bias_weight,subject
"(4000, 16000)",16000,4000,0.773329102,0.297844995,S66
"(500, 2000)",2000,500,0.171342326,0.888895199,S66
"(500, 16000)",16000,500,0.308500946,0.838963803,S66
"(4000, 16000)",16000,4000,0.930587418,0.243524844,S67
"(500, 2000)",2000,500,0.18796958,0.895863947,S67
"(500, 16000)",16000,500,0.651948238,0.766099778,S67
"(4000, 16000)",16000,4000,0.792193686,0.128392086,S68
"(500, 2000)",2000,500,0.305381666,1.011892973,S68
"(500, 16000)",16000,500,0.493891966,0.855355298,S68
"(4000, 16000)",16000,4000,0.970695181,0.192826037,S69
"(500, 2000)",2000,500,0.312519358,0.677387364,S69
"(500, 16000)",16000,500,0.413399639,0.830115661,S69
"(4000, 16000)",16000,4000,0.957580458,0.192840354,S74
"(500, 2000)",2000,500,0.260249457,0.763907309,S74
"(500, 16000)",16000,500,0.655267962,0.684873446,S74
"(4000, 16000)",16000,4000,0.802389571,0.393009776,S76
"(500, 2000)",2000,500,0.308804475,0.977828101,S76
"(500, 16000)",16000,500,0.561219936,0.857901883,S76
"(4000, 16000)",16000,4000,0.955652383,0.110746389,S77
"(500, 2000)",2000,500,0.194162326,0.929044959,S77
"(500, 16000)",16000,500,0.535794173,0.82561523,S77
"(4000, 16000)",16000,4000,0.629506217,0.09887537,S86
"(500, 2000)",2000,500,0.271863718,0.877431748,S86
"(500, 16000)",16000,500,0.53707892,0.613386753,S86
"(4000, 16000)",16000,4000,0.767697598,0.121431929,S91
"(500, 2000)",2000,500,0.251758294,0.879200422,S91
"(500, 16000)",16000,500,0.559580119,0.907685333,S91
"(4000, 16000)",16000,4000,0.608742194,0.599334719,S92
"(500, 2000)",2000,500,0.152048221,0.861842027,S92
"(500, 16000)",16000,500,0.493359359,1.011687757,S92
